episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
102,200,136.00,-2774.00,121,275,119.4,0.000,0.1933
103,200,137.00,-2698.00,119,262,120.5,0.000,0.2942
104,200,127.00,-2597.00,110,263,121.7,0.000,0.2612
105,200,-65.00,-2754.00,114,283,122.8,0.000,0.6043
106,200,133.00,-2712.00,117,270,123.9,0.000,0.1986
107,200,108.00,-2643.00,113,264,125.2,0.000,0.1086
108,200,85.00,-2678.00,113,271,126.4,0.000,0.4982
109,200,187.00,-2723.00,106,295,127.6,0.000,0.0835
110,200,175.00,-2443.00,97,256,128.8,0.000,0.1834
111,200,97.00,-2501.00,90,283,130.1,0.000,0.1339
112,200,66.00,-2609.00,109,264,131.3,0.000,0.5115
113,200,112.00,-2846.00,131,269,132.6,0.000,0.5802
114,200,63.00,-2621.00,108,273,133.7,0.000,0.8938
115,200,169.00,-2618.00,95,299,134.9,0.000,0.1251
116,200,283.00,-2619.00,108,270,136.2,0.000,0.2025
117,200,231.00,-2712.00,118,268,137.4,0.000,0.1741
118,200,127.00,-2684.00,100,298,138.5,0.000,0.4826
119,200,74.00,-2754.00,112,289,139.8,0.000,0.6016
120,200,33.00,-2735.00,114,279,141.0,0.000,0.3142
121,200,91.00,-2771.00,104,310,142.2,0.000,0.3574
122,200,162.00,-2567.00,87,300,143.4,0.000,0.3961
123,200,110.00,-2565.00,86,303,144.8,0.000,0.0969
124,200,140.00,-2627.00,106,276,146.0,0.000,0.0749
125,200,96.00,-2722.00,101,304,147.3,0.000,0.7470
126,200,54.00,-2741.00,114,281,148.6,0.000,0.1780
127,200,83.00,-2894.00,131,280,150.2,0.000,0.0348
128,200,40.00,-2710.00,120,265,151.3,0.000,0.0468
129,200,185.00,-2683.00,108,281,152.7,0.000,0.2740
130,200,173.00,-2791.00,117,287,154.1,0.000,0.6062
131,200,233.00,-2655.00,110,272,155.5,0.000,0.3132
132,200,124.00,-2609.00,124,235,156.7,0.000,0.5674
133,200,129.00,-2555.00,93,286,157.8,0.000,0.1616
134,200,147.00,-2644.00,111,269,159.1,0.000,0.1828
135,200,169.00,-2662.00,116,260,160.4,0.000,-0.1172
136,200,40.00,-2609.00,103,278,161.6,0.000,0.4161
137,200,185.00,-2663.00,114,266,162.8,0.000,0.0954
138,200,20.00,-2751.00,114,284,164.0,0.000,0.1249
139,200,165.00,-2738.00,128,256,165.2,0.000,0.0881
140,200,50.00,-2810.00,122,281,166.3,0.000,0.5494
141,200,238.00,-2534.00,102,263,167.5,0.000,0.5802
142,200,100.00,-2566.00,107,263,168.6,0.000,-0.0920
143,200,111.00,-2829.00,130,268,169.8,0.000,0.3898
144,200,129.00,-2607.00,105,273,170.9,0.000,0.3636
145,200,160.00,-2457.00,88,279,172.0,0.000,-0.0963
146,200,285.00,-2643.00,107,277,173.1,0.000,0.4002
147,200,200.00,-2701.00,119,264,174.3,0.000,0.2855
148,200,141.00,-2596.00,99,282,175.6,0.000,1.0166
149,200,181.00,-2662.00,98,298,176.9,0.000,0.3510
150,200,215.00,-2699.00,105,292,178.1,0.000,0.3601
151,200,93.00,-2494.00,83,299,179.2,0.000,-0.1020
152,200,88.00,-2764.00,103,310,180.4,0.000,0.1871
153,200,143.00,-2783.00,101,317,181.6,0.000,0.2264
154,200,132.00,-2561.00,101,275,182.7,0.000,0.2354
155,200,214.00,-2600.00,90,304,183.9,0.000,0.1516
156,200,40.00,-2782.00,98,324,185.1,0.000,0.4454
157,200,110.00,-2762.00,100,314,186.3,0.000,1.2398
158,200,94.00,-2623.00,97,294,187.5,0.000,0.3105
159,200,88.00,-2757.00,100,313,188.6,0.000,-0.1687
160,200,125.00,-2597.00,101,281,189.8,0.000,0.2742
161,200,153.00,-2569.00,89,299,191.0,0.000,0.4055
162,200,152.00,-2702.00,115,274,192.1,0.000,0.3955
