episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
439,200,121.00,-2734.00,199,108,154.5,0.300,0.0000
440,200,10.00,-2778.00,209,98,154.8,0.300,0.0000
441,200,-57.00,-3023.00,227,109,155.2,0.300,0.0000
442,200,111.00,-2929.00,195,155,155.5,0.300,0.0000
443,200,150.00,-2587.00,175,129,155.9,0.300,0.0000
444,200,140.00,-2470.00,161,132,156.2,0.300,0.0000
445,200,38.00,-2813.00,188,147,156.6,0.300,0.0000
446,200,-6.00,-3012.00,210,144,156.9,0.300,0.0000
447,200,57.00,-2856.00,207,119,157.3,0.300,0.0000
448,200,160.00,-2762.00,187,139,157.6,0.300,0.0000
449,200,120.00,-2683.00,169,161,158.0,0.300,0.0000
450,200,116.00,-2822.00,181,164,158.3,0.300,0.0000
451,200,79.00,-2573.00,167,140,158.7,0.300,0.0000
452,200,127.00,-2754.00,191,130,159.0,0.300,0.0000
453,200,43.00,-2839.00,208,114,159.4,0.300,0.0000
454,200,108.00,-2763.00,180,150,159.7,0.300,0.0000
455,200,-70.00,-2980.00,206,146,160.0,0.300,0.0000
456,200,108.00,-2840.00,210,108,160.4,0.300,0.0000
457,200,47.00,-2897.00,210,119,160.7,0.300,0.0000
458,200,-33.00,-2772.00,198,120,161.1,0.300,0.0000
459,200,-42.00,-2761.00,206,101,161.4,0.300,0.0000
460,200,104.00,-2724.00,196,114,161.8,0.300,0.0000
461,200,-27.00,-2840.00,201,127,162.1,0.300,0.0000
462,200,162.00,-2783.00,186,145,162.5,0.300,0.0000
463,200,8.00,-2810.00,195,132,162.8,0.300,0.0000
464,200,18.00,-2556.00,177,115,163.2,0.300,0.0000
465,200,70.00,-2736.00,181,144,163.5,0.300,0.0000
466,200,-11.00,-2638.00,184,121,163.9,0.300,0.0000
467,200,-35.00,-2799.00,207,105,164.2,0.300,0.0000
468,200,-15.00,-2997.00,221,118,164.6,0.300,0.0000
469,200,125.00,-2667.00,192,109,165.0,0.300,0.0000
470,200,-36.00,-2926.00,200,145,165.3,0.300,0.0000
471,200,95.00,-2736.00,187,135,165.7,0.300,0.0000
472,200,23.00,-2961.00,206,139,166.0,0.300,0.0000
473,200,29.00,-2892.00,201,137,166.4,0.300,0.0000
474,200,-54.00,-2996.00,190,180,166.7,0.300,0.0000
475,200,37.00,-2704.00,173,157,167.1,0.300,0.0000
476,200,-77.00,-2862.00,203,127,167.4,0.300,0.0000
477,200,-29.00,-2638.00,176,137,167.8,0.300,0.0000
478,200,107.00,-2671.00,188,118,168.1,0.300,0.0000
479,200,-22.00,-2942.00,223,102,168.4,0.300,0.0000
480,200,-47.00,-2766.00,189,137,168.8,0.300,0.0000
481,200,8.00,-2950.00,170,212,169.1,0.300,0.0000
482,200,50.00,-2917.00,207,128,169.5,0.300,0.0000
483,200,-9.00,-2873.00,188,158,169.8,0.300,0.0000
484,200,-26.00,-2896.00,199,141,170.2,0.300,0.0000
485,200,-23.00,-2756.00,194,124,170.5,0.300,0.0000
486,200,-30.00,-2926.00,212,120,170.9,0.300,0.0000
487,200,33.00,-2789.00,190,139,171.2,0.300,0.0000
488,200,77.00,-2872.00,206,123,171.6,0.300,0.0000
489,200,88.00,-2881.00,206,125,171.9,0.300,0.0000
490,200,74.00,-2757.00,197,119,172.3,0.300,0.0000
491,200,61.00,-2940.00,210,129,172.6,0.300,0.0000
492,200,-2.00,-2753.00,184,145,173.0,0.300,0.0000
493,200,9.00,-2780.00,195,128,173.3,0.300,0.0000
494,200,-49.00,-2918.00,210,122,173.7,0.300,0.0000
495,200,50.00,-2925.00,223,98,174.0,0.300,0.0000
496,200,159.00,-2793.00,203,111,174.4,0.300,0.0000
497,200,151.00,-2783.00,189,141,174.7,0.300,0.0000
498,200,74.00,-2690.00,195,108,175.1,0.300,0.0000
499,200,15.00,-2862.00,205,123,175.4,0.300,0.0000
500,200,21.00,-2566.00,177,120,175.8,0.300,0.0000
