episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
101,200,-14.00,-2891.00,193,153,35.5,0.300,0.0000
102,200,-2.00,-2810.00,193,136,35.9,0.300,0.0000
103,200,8.00,-2801.00,192,138,36.2,0.300,0.0000
104,200,92.00,-2893.00,215,109,36.6,0.300,0.0000
105,200,36.00,-2786.00,194,131,36.9,0.300,0.0000
106,200,-60.00,-2629.00,178,131,37.3,0.300,0.0000
107,200,-113.00,-3051.00,223,125,37.6,0.300,0.0000
108,200,-16.00,-2741.00,183,143,38.0,0.300,0.0000
109,200,15.00,-2792.00,199,121,38.4,0.300,0.0000
110,200,-155.00,-3057.00,230,111,38.7,0.300,0.0000
111,200,27.00,-2711.00,197,109,39.1,0.300,0.0000
112,200,67.00,-2867.00,189,154,39.4,0.300,0.0000
113,200,-76.00,-2624.00,199,89,39.8,0.300,0.0000
114,200,-28.00,-2881.00,187,162,40.1,0.300,0.0000
115,200,70.00,-2698.00,191,117,40.5,0.300,0.0000
116,200,106.00,-2808.00,197,130,40.8,0.300,0.0000
117,200,83.00,-2676.00,149,199,41.2,0.300,0.0000
118,200,-26.00,-2781.00,202,112,41.5,0.300,0.0000
119,200,69.00,-2683.00,186,125,41.9,0.300,0.0000
120,200,-43.00,-2741.00,198,112,42.2,0.300,0.0000
121,200,66.00,-2743.00,185,137,42.6,0.300,0.0000
122,200,4.00,-2754.00,186,140,42.9,0.300,0.0000
123,200,142.00,-2846.00,217,97,43.3,0.300,0.0000
124,200,41.00,-2806.00,190,141,43.6,0.300,0.0000
125,200,48.00,-2856.00,179,174,44.0,0.300,0.0000
126,200,6.00,-2755.00,197,116,44.3,0.300,0.0000
127,200,94.00,-2808.00,192,137,44.7,0.300,0.0000
128,200,-101.00,-3005.00,230,99,45.0,0.300,0.0000
129,200,212.00,-2726.00,170,165,45.4,0.300,0.0000
130,200,24.00,-2812.00,207,110,45.7,0.300,0.0000
131,200,55.00,-2838.00,212,106,46.1,0.300,0.0000
132,200,35.00,-2933.00,215,115,46.4,0.300,0.0000
133,200,212.00,-2619.00,185,114,46.8,0.300,0.0000
134,200,-34.00,-2800.00,196,129,47.1,0.300,0.0000
135,200,0.00,-2973.00,216,122,47.5,0.300,0.0000
136,200,139.00,-2918.00,200,144,47.8,0.300,0.0000
137,200,163.00,-2797.00,186,150,48.2,0.300,0.0000
138,200,106.00,-2737.00,192,126,48.5,0.300,0.0000
139,200,-108.00,-2814.00,199,125,48.9,0.300,0.0000
140,200,39.00,-2825.00,173,177,49.2,0.300,0.0000
141,200,68.00,-2769.00,194,126,49.6,0.300,0.0000
142,200,-8.00,-2727.00,190,126,49.9,0.300,0.0000
143,200,-22.00,-2860.00,219,93,50.3,0.300,0.0000
144,200,155.00,-2636.00,178,133,50.6,0.300,0.0000
145,200,11.00,-2837.00,197,135,51.0,0.300,0.0000
146,200,184.00,-2759.00,183,145,51.3,0.300,0.0000
147,200,-10.00,-2758.00,209,93,51.7,0.300,0.0000
148,200,93.00,-2802.00,190,140,52.2,0.300,0.0000
149,200,-27.00,-2728.00,180,147,52.6,0.300,0.0000
150,200,64.00,-2790.00,194,131,52.9,0.300,0.0000
151,200,165.00,-2742.00,164,182,53.3,0.300,0.0000
152,200,19.00,-2963.00,200,152,53.6,0.300,0.0000
153,200,63.00,-2905.00,220,103,54.0,0.300,0.0000
154,200,-58.00,-2707.00,190,122,54.3,0.300,0.0000
155,200,12.00,-2712.00,186,130,54.7,0.300,0.0000
156,200,-14.00,-2879.00,207,124,55.0,0.300,0.0000
157,200,63.00,-2779.00,171,176,55.4,0.300,0.0000
158,200,79.00,-2837.00,213,101,55.7,0.300,0.0000
159,200,-103.00,-2909.00,213,115,56.1,0.300,0.0000
160,200,18.00,-2893.00,190,160,56.4,0.300,0.0000
161,200,140.00,-2744.00,179,152,56.8,0.300,0.0000
162,200,-35.00,-2841.00,202,123,57.1,0.300,0.0000
163,200,-17.00,-2742.00,200,110,57.5,0.300,0.0000
164,200,3.00,-2732.00,201,103,57.9,0.300,0.0000
165,200,-49.00,-2745.00,196,116,58.2,0.300,0.0000
166,200,65.00,-2933.00,214,117,58.6,0.300,0.0000
167,200,-136.00,-2858.00,206,120,58.9,0.300,0.0000
168,200,13.00,-2874.00,201,135,59.3,0.300,0.0000
169,200,-37.00,-2896.00,212,115,59.6,0.300,0.0000
170,200,81.00,-2667.00,202,89,60.0,0.300,0.0000
171,200,39.00,-2673.00,168,158,60.3,0.300,0.0000
172,200,6.00,-2700.00,195,110,60.7,0.300,0.0000
173,200,-42.00,-2772.00,201,114,61.0,0.300,0.0000
174,200,-197.00,-3039.00,220,129,61.4,0.300,0.0000
175,200,-10.00,-2697.00,194,111,61.7,0.300,0.0000
176,200,-38.00,-2839.00,168,190,62.1,0.300,0.0000
177,200,116.00,-2784.00,204,107,62.4,0.300,0.0000
178,200,35.00,-2775.00,186,146,62.8,0.300,0.0000
179,200,35.00,-2778.00,189,138,63.1,0.300,0.0000
180,200,58.00,-2837.00,204,120,63.5,0.300,0.0000
181,200,155.00,-2704.00,189,124,63.8,0.300,0.0000
182,200,-22.00,-2899.00,190,162,64.2,0.300,0.0000
183,200,20.00,-2819.00,208,108,64.5,0.300,0.0000
184,200,41.00,-2694.00,199,102,64.9,0.300,0.0000
185,200,14.00,-2770.00,185,146,65.2,0.300,0.0000
186,200,-9.00,-2869.00,204,125,65.6,0.300,0.0000
187,200,67.00,-2711.00,188,125,65.9,0.300,0.0000
188,200,102.00,-2777.00,201,115,66.3,0.300,0.0000
189,200,-70.00,-2805.00,205,110,66.6,0.300,0.0000
190,200,100.00,-2643.00,172,145,67.0,0.300,0.0000
191,200,20.00,-2750.00,171,168,67.3,0.300,0.0000
192,200,90.00,-2577.00,158,160,67.7,0.300,0.0000
193,200,82.00,-2913.00,191,163,68.0,0.300,0.0000
194,200,100.00,-2711.00,206,92,68.4,0.300,0.0000
195,200,-6.00,-2823.00,203,119,68.7,0.300,0.0000
196,200,138.00,-2747.00,185,140,69.1,0.300,0.0000
197,200,-51.00,-2957.00,205,141,69.4,0.300,0.0000
198,200,0.00,-2849.00,221,86,69.8,0.300,0.0000
199,200,25.00,-2776.00,208,100,70.1,0.300,0.0000
200,200,11.00,-2643.00,195,100,70.5,0.300,0.0000
201,200,-29.00,-2662.00,182,129,70.8,0.300,0.0000
202,200,60.00,-2915.00,207,130,71.2,0.300,0.0000
203,200,-28.00,-2814.00,202,118,71.5,0.300,0.0000
204,200,28.00,-2829.00,204,119,71.9,0.300,0.0000
205,200,-17.00,-2937.00,202,141,72.2,0.300,0.0000
206,200,118.00,-2745.00,201,106,72.6,0.300,0.0000
207,200,-47.00,-2908.00,214,112,72.9,0.300,0.0000
208,200,28.00,-2890.00,202,133,73.3,0.300,0.0000
209,200,-9.00,-2905.00,211,118,73.6,0.300,0.0000
210,200,57.00,-2841.00,191,147,74.0,0.300,0.0000
211,200,-90.00,-2752.00,199,112,74.3,0.300,0.0000
212,200,84.00,-2694.00,188,123,74.7,0.300,0.0000
213,200,60.00,-3019.00,219,125,75.0,0.300,0.0000
214,200,19.00,-2928.00,191,162,75.4,0.300,0.0000
215,200,139.00,-2660.00,190,112,75.7,0.300,0.0000
