episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
1,200,-42.00,-2881.00,146,247,1.4,0.000,-0.2480
2,200,-37.00,-2851.00,147,237,2.7,0.000,3.1181
3,200,-29.00,-2974.00,163,230,3.9,0.000,-18.9553
4,200,59.00,-2977.00,152,251,5.0,0.000,15.0881
5,200,85.00,-2740.00,136,240,6.2,0.000,-12.7066
6,200,139.00,-2645.00,131,228,7.3,0.000,1.3486
7,200,31.00,-2817.00,145,236,8.6,0.000,27.5133
8,200,16.00,-2697.00,138,227,9.8,0.000,-25.4137
9,200,20.00,-2775.00,151,217,11.0,0.000,-2.1494
10,200,124.00,-2557.00,127,219,12.3,0.000,9.1260
11,200,23.00,-2792.00,143,233,13.5,0.000,10.9049
12,200,-28.00,-2734.00,131,245,14.7,0.000,0.3419
13,200,61.00,-2656.00,113,266,16.0,0.000,-15.0324
14,200,188.00,-2545.00,119,232,17.2,0.000,0.4659
15,200,124.00,-2976.00,151,256,18.3,0.000,-6.9176
16,200,89.00,-2719.00,140,229,19.4,0.000,-3.7941
17,200,67.00,-2807.00,144,235,20.6,0.000,16.4864
18,200,-15.00,-2893.00,151,238,21.8,0.000,1.3259
19,200,125.00,-2676.00,129,240,23.0,0.000,-21.4320
20,200,104.00,-2564.00,115,245,24.2,0.000,-5.3240
21,200,38.00,-2792.00,138,244,25.4,0.000,31.3629
22,200,305.00,-2631.00,130,226,26.7,0.000,-10.0694
23,200,-56.00,-2859.00,139,253,27.9,0.000,54.5438
24,200,75.00,-2817.00,136,254,29.2,0.000,-0.3158
25,200,108.00,-2745.00,133,245,30.4,0.000,5.3976
26,200,126.00,-2844.00,140,250,31.6,0.000,2.4493
27,200,95.00,-2839.00,149,232,32.8,0.000,-8.8286
28,200,70.00,-2772.00,156,205,34.0,0.000,-14.1364
29,200,197.00,-2855.00,138,255,35.2,0.000,-8.4428
30,200,190.00,-2584.00,108,264,36.4,0.000,12.7080
31,200,128.00,-2583.00,130,217,37.6,0.000,29.0060
32,200,189.00,-2716.00,133,238,38.7,0.000,14.3282
33,200,38.00,-2946.00,157,236,39.9,0.000,-0.0173
34,200,191.00,-2794.00,127,264,41.1,0.000,-21.1256
35,200,166.00,-2737.00,123,264,42.5,0.000,-7.3716
36,200,134.00,-2554.00,105,261,43.8,0.000,9.9126
37,200,105.00,-2734.00,130,250,45.1,0.000,25.8681
