episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
1,200,-4.00,-1137.00,96,24,8.0,0.503,93.1363
2,200,21.00,-1088.00,98,11,18.8,0.185,64.6699
3,200,26.00,-1083.00,99,8,30.6,0.068,49.7789
4,200,21.00,-1112.00,98,16,41.6,0.050,36.3058
5,200,25.00,-1284.00,115,15,52.6,0.050,32.4844
6,200,39.00,-1101.00,95,20,63.8,0.050,27.8304
7,200,0.00,-1038.00,90,17,74.5,0.050,24.0004
8,200,6.00,-1130.00,97,21,85.5,0.050,23.1452
9,200,12.00,-1093.00,96,16,96.9,0.050,20.1852
10,200,41.00,-1042.00,89,19,109.6,0.050,18.7981
11,200,-5.00,-963.00,86,10,123.6,0.050,16.4844
12,200,5.00,-1140.00,104,9,136.0,0.050,19.1266
13,200,10.00,-1073.00,95,14,146.9,0.050,17.1404
14,200,8.00,-1135.00,101,14,158.7,0.050,16.2136
15,200,-26.00,-1194.00,101,25,169.5,0.050,15.0119
16,200,-24.00,-1096.00,95,18,181.1,0.050,15.1781
17,200,1.00,-883.00,73,21,191.9,0.050,13.8854
18,200,40.00,-958.00,80,20,203.1,0.050,14.1847
19,200,12.00,-998.00,83,22,214.7,0.050,13.2086
20,200,46.00,-1139.00,100,17,226.2,0.050,14.4984
